0,0,1
0,1,1
0,2,1
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,1
1,0,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,0
1,6,1
1,7,0
1,8,0
2,0,1
2,1,1
2,2,1
2,3,0
3,0,1
3,1,1
4,0,1
4,1,1
4,2,1
4,3,1
4,4,0
4,5,1
4,6,0
5,0,0
5,1,0
5,2,1
5,3,0
5,4,1
5,5,1
5,6,0
6,0,0
6,1,0
6,2,1
6,3,0
6,4,1
6,5,0
6,6,0
6,7,1
6,8,0
7,0,0
7,1,0
8,0,0
8,1,0
8,2,0
8,3,1
8,4,0
8,5,0
8,6,0
8,7,1
8,8,1
9,0,1
10,0,0
10,1,0
10,2,1
10,3,1
10,4,1
10,5,1
10,6,1
10,7,1
10,9,0
11,0,1
11,1,1
11,2,1
11,3,1
11,4,1
11,5,1
12,0,0
12,1,0
12,2,0
12,3,0
12,4,0
12,5,0
12,6,0
12,7,0
13,0,0
13,1,1
13,2,0
14,0,1
14,1,0
14,2,0
14,3,1
14,4,1
14,5,0
14,6,0
15,0,1
15,1,1
15,2,1
15,3,1
15,4,1
15,5,1
15,6,1
15,7,1
15,8,0
16,0,0
16,1,0
16,2,0
16,3,1
16,4,1
16,5,1
16,6,1
16,7,0
17,0,1
17,1,1
17,2,0
17,3,0
18,0,0
18,1,1
18,2,0
18,3,0
18,4,0
18,5,0
18,6,0
19,0,1
19,1,0
19,2,1
19,3,1
19,4,0
19,5,1
19,6,1
19,7,0
20,0,1
20,1,1
20,2,1
20,3,0
20,4,1
20,5,1
20,6,0
20,7,0
20,8,0
21,0,1
21,1,0
21,2,0
21,3,1
21,4,1
21,5,0
21,6,1
21,7,0
21,8,0
21,9,1
22,0,1
22,1,1
22,2,1
22,3,1
22,4,1
22,5,1
22,6,0
22,7,0
22,8,0
22,9,0
22,10,0
22,11,0
23,0,0
23,1,1
23,2,1
23,3,1
23,4,1
24,0,0
24,1,1
24,2,0
24,3,0
25,0,0
25,1,1
